mysql> select left(i,4),nat_id,incomeclass.x as incomeBracket,sum(expense.x),sum(q),count(*) from expense,incomeclass where f=fs_id  group by nat_id,incomeclass.x,left(i,4);
+-----------+--------+---------------+----------------+--------+----------+
| left(i,4) | nat_id | incomeBracket | sum(expense.x) | sum(q) | count(*) |
| 0431      |      1 |             4 |     102023.535 |    451 |      375 |
| 0432      |      1 |             4 |     157364.600 |   1169 |      883 |
| 0441      |      1 |             4 |      18249.250 |   1280 |     1281 |
| 0442      |      1 |             4 |       1431.750 |    618 |      618 |
| 0443      |      1 |             4 |        395.200 |     36 |       31 |
| 0451      |      1 |             4 |      36366.900 |   1278 |     1280 |
| 0452      |      1 |             4 |       2768.375 |   1750 |     1311 |
| 0453      |      1 |             4 |        627.525 |    461 |       62 |
| 0454      |      1 |             4 |       1848.560 |    654 |      600 |
| 0511      |      1 |             4 |      84212.460 |   1845 |     1318 |
| 0512      |      1 |             4 |      15509.210 |    504 |      422 |
| 0513      |      1 |             4 |        339.000 |      8 |        8 |
| 0520      |      1 |             4 |      42006.395 |   3065 |     1880 |
| 0531      |      1 |             4 |      36821.090 |    644 |      616 |
| 0532      |      1 |             4 |       9768.925 |    860 |      787 |
| 0533      |      1 |             4 |      10516.150 |    443 |      423 |
| 0540      |      1 |             4 |      48573.386 |   5819 |     2715 |
| 0551      |      1 |             4 |        704.590 |     46 |       35 |
| 0552      |      1 |             4 |      20620.205 |   2499 |     1096 |
| 0561      |      1 |             4 |      62367.273 |  34448 |    13994 |
| 0562      |      1 |             4 |     131177.600 |   1789 |     1632 |
| 0611      |      1 |             4 |      11365.980 |    977 |      831 |
| 0612      |      1 |             4 |        666.275 |    163 |      143 |
| 0613      |      1 |             4 |       5011.395 |    154 |      148 |
| 0621      |      1 |             4 |       6947.450 |    271 |      270 |
| 0622      |      1 |             4 |       7750.500 |     83 |       80 |
| 0623      |      1 |             4 |       6160.150 |     82 |       70 |
| 0624      |      1 |             4 |        101.000 |      3 |        3 |
| 0630      |      1 |             4 |      14972.585 |     41 |       36 |
| 0711      |      1 |             4 |      25709.000 |      6 |        6 |
| 0712      |      1 |             4 |         22.000 |      1 |        1 |
| 0713      |      1 |             4 |        629.400 |     22 |       18 |
| 0714      |      1 |             4 |          2.000 |      1 |        1 |
| 0721      |      1 |             4 |      30638.200 |    720 |      561 |
| 0722      |      1 |             4 |     170588.131 |  43392 |     9339 |
| 0723      |      1 |             4 |      52902.164 |   3860 |     3525 |
| 0724      |      1 |             4 |       3942.450 |    210 |      198 |
| 0732      |      1 |             4 |       2426.550 |    184 |      159 |
| 0733      |      1 |             4 |      58623.900 |    152 |      110 |
| 0734      |      1 |             4 |         30.000 |      1 |        1 |
| 0736      |      1 |             4 |        351.350 |     22 |       22 |
| 0810      |      1 |             4 |         55.990 |      8 |        8 |
| 0820      |      1 |             4 |      30681.390 |    901 |      876 |
| 0830      |      1 |             4 |      71256.890 |   6430 |     5841 |
| 0911      |      1 |             4 |      17979.139 |    249 |      245 |
| 0912      |      1 |             4 |       1820.000 |     26 |       26 |
| 0913      |      1 |             4 |      14037.650 |    260 |      247 |
| 0914      |      1 |             4 |       2327.820 |    232 |      130 |
| 0915      |      1 |             4 |       1481.750 |     94 |       70 |
| 0922      |      1 |             4 |        656.575 |     13 |       13 |
| 0923      |      1 |             4 |        312.700 |     27 |       18 |
| 0931      |      1 |             4 |      10741.535 |    880 |      702 |
| 0932      |      1 |             4 |      13129.270 |    276 |      214 |
| 0933      |      1 |             4 |       6143.000 |    280 |      225 |
| 0934      |      1 |             4 |       1029.445 |    185 |      125 |
| 0935      |      1 |             4 |         70.310 |      9 |        8 |
| 0941      |      1 |             4 |      22433.725 |    958 |      779 |
| 0942      |      1 |             4 |       2514.250 |    163 |      140 |
| 0951      |      1 |             4 |       1106.450 |     88 |       59 |
| 0952      |      1 |             4 |       2549.200 |   1229 |      980 |
| 0953      |      1 |             4 |        943.550 |    190 |       75 |
| 0954      |      1 |             4 |      15418.975 |   2812 |     1624 |
| 0960      |      1 |             4 |      15676.000 |     61 |       50 |
| 1010      |      1 |             4 |      12133.000 |    162 |      147 |
| 1020      |      1 |             4 |      25337.000 |    392 |      352 |
| 1030      |      1 |             4 |       1286.000 |     22 |       21 |
| 1040      |      1 |             4 |       5440.000 |     24 |       23 |
