 f    	 m    	new-m	diff
1018	1	1	
1018	2	2	
1018	3	3	
1019	1	1	
1019	2	2	
1020	1	1	
1021	1	1	
1021	2	2	
1021	3	3	
1022	1	1	
1023	1	1	
1024	1	1	
1024	2	2	
1025	1	1	
1026	1	1	
1026	2	2	
1027	1	1	
1028	1	1	
1030	1	1	
1030	2	2	
1030	3	3	
1030	4	4	
1030	5	5	
1031	1	1	
1032	1	1	
1032	2	2	
1033	1	1	
1034	1	1	
1037	1	1	
1037	3	2	update income set mem_id=2 where fs_id=1037 and mem_id=3;
1038	1	1	
1040	1	1	
1041	1	1	
1042	1	1	
1043	1	1	
1044	1	1	
1045	1	1	
1046	1	1	
1046	4	2	update income set mem_id=2 where fs_id=1046 and mem_id=4;
1048	1	1	
1048	2	2	
1049	1	1	
1050	1	1	
1051	1	1	
1051	2	2	
1052	1	1	
1052	2	2	
1052	3	3	
1054	1	1	
1055	1	1	
1055	3	2	update income set mem_id=2 where fs_id=1055 and mem_id=3;
1055	4	3	update income set mem_id=3 where fs_id=1055 and mem_id=4;
