mysql> select fid1,fid2,mem1,mem2,count(*) from mdetail group by fid1,fid2,mem1,mem2;
+------+------+------+------+----------+
| fid1 | fid2 | mem1 | mem2 | count(*) |
|   73 |   73 |    1 |   10 |        3 |
|   73 |   73 |    1 |   11 |        3 |
|   73 |   73 |    2 |    1 |        3 |
|   73 |   73 |    2 |    2 |        3 |
|   73 |   73 |    2 |    3 |        3 |
|   73 |   73 |    2 |    4 |        3 |
|   73 |   73 |    2 |    5 |        3 |
|   73 |   73 |    2 |    6 |        3 |
|   73 |   73 |    2 |    7 |        3 |
|   73 |   73 |    2 |    8 |        3 |
|   73 |   73 |    2 |    9 |        3 |
|   73 |   73 |    2 |   10 |        3 |
|   73 |   73 |    2 |   11 |        3 |
|   73 |   73 |    3 |    1 |        3 |
|   73 |   73 |    3 |    2 |        3 |
|   73 |   73 |    3 |    3 |        3 |
|   73 |   73 |    3 |    4 |        3 |
|   73 |   73 |    3 |    5 |        3 |
|   73 |   73 |    3 |    6 |        3 |
|   73 |   73 |    3 |    7 |        3 |
|   73 |   73 |    3 |    8 |        3 |
|   73 |   73 |    3 |    9 |        3 |
|   73 |   73 |    3 |   10 |        3 |
|   73 |   73 |    3 |   11 |        3 |
|   73 |   73 |    4 |    1 |        3 |
|   73 |   73 |    4 |    2 |        3 |
|   73 |   73 |    4 |    3 |        3 |
|   73 |   73 |    4 |    4 |        3 |
|   73 |   73 |    4 |    5 |        3 |
|   73 |   73 |    4 |    6 |        3 |
|   73 |   73 |    4 |    7 |        3 |
|   73 |   73 |    4 |    8 |        3 |
|   73 |   73 |    4 |    9 |        3 |
|   73 |   73 |    4 |   10 |        3 |
|   73 |   73 |    4 |   11 |        3 |
|   73 |   73 |    5 |    1 |        3 |
|   73 |   73 |    5 |    2 |        3 |
|   73 |   73 |    5 |    3 |        3 |
|   73 |   73 |    5 |    4 |        3 |
|   73 |   73 |    5 |    5 |        3 |
|   73 |   73 |    5 |    6 |        3 |
|   73 |   73 |    5 |    7 |        3 |
|   73 |   73 |    5 |    8 |        3 |
|   73 |   73 |    5 |    9 |        3 |
|   73 |   73 |    5 |   10 |        3 |
