mysql> select a.fs_id , a.mem_id , b.mem_id , a.fm_mm , a.income1+a.income2+a.income3+a.income4 as aCY , b.income1+b.income2+b.income3+b.income4 as bCY , IF(A.INCOME1=B.INCOME1,A.INCOME1,'') , IF(A.INCOME2=B.INCOME2,A.INCOME2,'') , IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') , IF(A.INCOME4=B.INCOME4,A.INCOME4,'') from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm= b.fm_mm and a.mem_id<b.mem_id;
+-------+--------+--------+-------+-------+------+--------------------------------------+--------------------------------------+----------------------------------------+--------------------------------------+
| fs_id | mem_id | mem_id | fm_mm | aCY   | bCY  | IF(A.INCOME1=B.INCOME1,A.INCOME1,'') | IF(A.INCOME2=B.INCOME2,A.INCOME2,'') | IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') | IF(A.INCOME4=B.INCOME4,A.INCOME4,'') |
|    30 |      2 |      3 |     2 |   155 |  156 |                                      | 0                                    | 0                                      | 0                                    |
|    32 |      1 |      2 |     1 |  1593 |  425 |                                      | 0                                    | 0                                      | 0                                    |
|    32 |      1 |      2 |     2 |  1593 |  425 |                                      | 0                                    | 0                                      | 0                                    |
|    32 |      1 |      2 |     3 |  1593 |  425 |                                      | 0                                    | 0                                      | 0                                    |
|    34 |      1 |      2 |     1 |   330 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    34 |      1 |      3 |     1 |   330 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    34 |      1 |      3 |     2 |   330 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    34 |      1 |      2 |     2 |   330 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    34 |      1 |      3 |     3 |   330 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    34 |      1 |      2 |     3 |   330 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    34 |      2 |      3 |     1 |   200 |  200 | 200                                  | 0                                    | 0                                      | 0                                    |
|    34 |      2 |      3 |     3 |   200 |  200 | 200                                  | 0                                    | 0                                      | 0                                    |
|    34 |      2 |      3 |     2 |   200 |  200 | 200                                  | 0                                    | 0                                      | 0                                    |
|    35 |      1 |      2 |     1 |   343 |  193 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      1 |      3 |     1 |   343 |  269 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      1 |      3 |     2 |   343 |  269 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      1 |      2 |     2 |   343 |  193 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      1 |      3 |     3 |   343 |  269 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      1 |      2 |     3 |   343 |  193 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      2 |      3 |     1 |   193 |  269 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      2 |      3 |     3 |   193 |  269 |                                      | 0                                    | 0                                      | 0                                    |
|    35 |      2 |      3 |     2 |   193 |  269 |                                      | 0                                    | 0                                      | 0                                    |
|    46 |      1 |      2 |     1 |  4843 | 3229 |                                      | 0                                    | 0                                      | 0                                    |
|    46 |      1 |      2 |     2 |  4843 | 3229 |                                      | 0                                    | 0                                      | 0                                    |
|    46 |      1 |      2 |     3 |  4843 | 3229 |                                      | 0                                    | 0                                      | 0                                    |
|    50 |      1 |      2 |     1 |   344 |  236 |                                      | 0                                    | 0                                      | 0                                    |
