mysql> select a.fs_id,a.mem_id,b.mem_id,a.income1+a.income2+a.income3+a.income4 as aCY,b.income1+b.income2+b.income3+b.income4 as bCY from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm=1 and b.fm_mm=1 and a.mem_id>b.mem_id;
+-------+--------+--------+------+-------+
| fs_id | mem_id | mem_id | aCY  | bCY   |
|   180 |      2 |      1 | NULL |  1500 |
|   180 |      3 |      1 |    0 |  1500 |
|   180 |      3 |      2 |    0 |  NULL |
|   185 |      4 |      1 | 1783 |  1500 |
|   185 |      4 |      2 | 1783 |     0 |
|   185 |      9 |      4 | 1426 |  1783 |
|   185 |      9 |      1 | 1426 |  1500 |
|   185 |      9 |      2 | 1426 |     0 |
|   185 |      2 |      1 |    0 |  1500 |
|   186 |      2 |      1 |    0 |  1500 |
|   187 |      2 |      1 |    0 |     0 |
|   188 |      4 |      1 | 1189 |  1500 |
|   188 |      4 |      2 | 1189 |     0 |
|   188 |      4 |      3 | 1189 |  1664 |
|   188 |      2 |      1 |    0 |  1500 |
|   188 |      3 |      1 | 1664 |  1500 |
|   188 |      3 |      2 | 1664 |     0 |
|   191 |      2 |      1 |  429 |   500 |
|   195 |      3 |      1 | 1069 |  2000 |
|   195 |      3 |      2 | 1069 |     0 |
|   195 |      7 |      3 | 1426 |  1069 |
|   195 |      7 |      1 | 1426 |  2000 |
|   195 |      7 |      2 | 1426 |     0 |
|   195 |      8 |      3 | 1545 |  1069 |
|   195 |      8 |      1 | 1545 |  2000 |
|   195 |      8 |      7 | 1545 |  1426 |
|   195 |      8 |      2 | 1545 |     0 |
|   195 |      2 |      1 |    0 |  2000 |
|   195 |     13 |      3 |    0 |  1069 |
|   195 |     13 |      1 |    0 |  2000 |
|   195 |     13 |      7 |    0 |  1426 |
|   195 |     13 |      8 |    0 |  1545 |
|   195 |     13 |      2 |    0 |     0 |
|   198 |      2 |      1 |    0 |  2000 |
|   201 |      3 |      1 | 1189 |  2200 |
|   202 |      7 |      1 | 1307 |  4734 |
|   205 |      2 |      1 | 1189 |  3283 |
|   205 |      3 |      1 |    0 |  3283 |
|   205 |      3 |      2 |    0 |  1189 |
|   207 |      2 |      1 |    0 |     0 |
|   208 |      2 |      1 |    0 |  1000 |
|   208 |      3 |      2 | 1189 |     0 |
|   208 |      3 |      1 | 1189 |  1000 |
|   209 |      2 |      1 | 1248 |  4091 |
|   211 |      3 |      1 |    0 |  2318 |
|   211 |      3 |      2 |    0 |  1189 |
|   211 |      2 |      1 | 1189 |  2318 |
|   215 |      3 |      1 | 2139 |  1500 |
|   216 |      2 |      1 | 2378 |  2639 |
|   217 |      2 |      1 |    0 |  1500 |
|   218 |      3 |      2 | 1426 |  1189 |
|   218 |      3 |      1 | 1426 |  1426 |
|   218 |      2 |      1 | 1189 |  1426 |
|   218 |      4 |      3 | 1189 |  1426 |
|   218 |      4 |      2 | 1189 |  1189 |
|   218 |      4 |      1 | 1189 |  1426 |
|   219 |      2 |      1 |    0 |  1500 |
|   219 |      3 |      2 | 2139 |     0 |
|   219 |      3 |      1 | 2139 |  1500 |
|   219 |      4 |      2 | 1783 |     0 |
|   219 |      4 |      3 | 1783 |  2139 |
|   219 |      4 |      1 | 1783 |  1500 |
|   219 |      5 |      2 | 1783 |     0 |
|   219 |      5 |      3 | 1783 |  2139 |
|   219 |      5 |      4 | 1783 |  1783 |
|   219 |      5 |      1 | 1783 |  1500 |
|   219 |      6 |      2 | 2139 |     0 |
|   219 |      6 |      3 | 2139 |  2139 |
|   219 |      6 |      4 | 2139 |  1783 |
|   219 |      6 |      5 | 2139 |  1783 |
|   219 |      6 |      1 | 2139 |  1500 |
|   221 |      2 |      1 | 2139 |  2283 |
|   221 |      3 |      1 |    0 |  2283 |
|   221 |      3 |      2 |    0 |  2139 |
|   221 |      4 |      1 |    0 |  2283 |
|   221 |      4 |      2 |    0 |  2139 |
|   221 |      4 |      3 |    0 |     0 |
|   223 |      2 |      1 | 1783 |  5945 |
|   225 |      2 |      1 |    0 |  2200 |
|   225 |      4 |      1 | 1128 |  2200 |
|   225 |      4 |      2 | 1128 |     0 |
|   225 |      7 |      1 | 1189 |  2200 |
|   225 |      7 |      2 | 1189 |     0 |
|   225 |      7 |      4 | 1189 |  1128 |
|   225 |      7 |      5 | 1189 |   594 |
|   225 |      5 |      1 |  594 |  2200 |
|   225 |      5 |      2 |  594 |     0 |
|   225 |      5 |      4 |  594 |  1128 |
|   226 |      2 |      1 | 1189 |  2378 |
|   227 |      2 |      1 |    0 |  1800 |
|   227 |      3 |      1 |  772 |  1800 |
|   227 |      3 |      2 |  772 |     0 |
|   229 |      2 |      1 |    0 |  1800 |
|   231 |      2 |      1 | 1189 |  2189 |
|   233 |      2 |      1 |    0 |  3345 |
|   234 |      6 |      1 | 1189 |  1500 |
|   234 |      6 |      3 | 1189 |   946 |
|   234 |      6 |      5 | 1189 |   826 |
|   234 |      3 |      1 |  946 |  1500 |
|   234 |      5 |      1 |  826 |  1500 |
|   234 |      5 |      3 |  826 |   946 |
|   237 |      4 |      1 |  712 |  3878 |
|   237 |      5 |      4 | 1426 |   712 |
|   237 |      5 |      1 | 1426 |  3878 |
|   237 |      9 |      4 | 1189 |   712 |
|   237 |      9 |      5 | 1189 |  1426 |
|   237 |      9 |      1 | 1189 |  3878 |
|   239 |      2 |      1 |  891 |  1939 |
|   241 |      7 |      1 | 1307 |  1500 |
|   241 |      8 |      7 |  712 |  1307 |
|   241 |      8 |      1 |  712 |  1500 |
|   242 |      2 |      1 |    0 |  4500 |
|   243 |      2 |      1 | 1308 |  2889 |
|   244 |      3 |      1 | 1664 |  2000 |
|   244 |      3 |      2 | 1664 |     0 |
|   244 |      4 |      1 | 1783 |  2000 |
|   244 |      4 |      3 | 1783 |  1664 |
|   244 |      4 |      2 | 1783 |     0 |
|   244 |      5 |      1 | 1426 |  2000 |
|   244 |      5 |      3 | 1426 |  1664 |
|   244 |      5 |      4 | 1426 |  1783 |
|   244 |      5 |      2 | 1426 |     0 |
|   244 |      6 |      1 | 1783 |  2000 |
|   244 |      6 |      3 | 1783 |  1664 |
|   244 |      6 |      4 | 1783 |  1783 |
|   244 |      6 |      5 | 1783 |  1426 |
|   244 |      6 |      2 | 1783 |     0 |
|   244 |      2 |      1 |    0 |  2000 |
|   245 |      3 |      1 | 1426 |  1500 |
|   245 |      3 |      2 | 1426 |     0 |
|   245 |      4 |      1 | 1901 |  1500 |
|   245 |      4 |      3 | 1901 |  1426 |
|   245 |      4 |      2 | 1901 |     0 |
|   245 |      2 |      1 |    0 |  1500 |
|   246 |      2 |      1 | 1189 |  2283 |
|   247 |      2 |      1 | 1426 |  2378 |
|   249 |      4 |      1 | 1426 |  1500 |
|   249 |      4 |      2 | 1426 |     0 |
|   249 |      4 |      3 | 1426 |  2378 |
|   249 |      2 |      1 |    0 |  1500 |
|   249 |      3 |      1 | 2378 |  1500 |
|   249 |      3 |      2 | 2378 |     0 |
|   252 |      7 |      1 |    0 |  3400 |
|   252 |      7 |      2 |    0 |  2378 |
|   252 |      7 |      3 |    0 |  1783 |
|   252 |      7 |      4 |    0 |  1426 |
|   252 |      7 |      5 |    0 |  1307 |
|   252 |      7 |      6 |    0 |  1009 |
|   252 |      2 |      1 | 2378 |  3400 |
|   252 |      3 |      1 | 1783 |  3400 |
|   252 |      3 |      2 | 1783 |  2378 |
|   252 |      4 |      1 | 1426 |  3400 |
|   252 |      4 |      2 | 1426 |  2378 |
|   252 |      4 |      3 | 1426 |  1783 |
|   252 |      5 |      1 | 1307 |  3400 |
|   252 |      5 |      2 | 1307 |  2378 |
|   252 |      5 |      3 | 1307 |  1783 |
|   252 |      5 |      4 | 1307 |  1426 |
|   252 |      6 |      1 | 1009 |  3400 |
|   252 |      6 |      2 | 1009 |  2378 |
|   252 |      6 |      3 | 1009 |  1783 |
|   252 |      6 |      4 | 1009 |  1426 |
|   252 |      6 |      5 | 1009 |  1307 |
|   254 |      3 |      1 | 1426 |  1200 |
|   254 |      3 |      2 | 1426 |  1783 |
|   254 |      2 |      1 | 1783 |  1200 |
|   256 |      2 |      1 | 2020 |  6756 |
|   258 |      2 |      1 |    0 |  8445 |
|   258 |      3 |      1 |    0 |  8445 |
|   258 |      3 |      2 |    0 |     0 |
|   258 |      4 |      1 |    0 |  8445 |
|   258 |      4 |      2 |    0 |     0 |
|   258 |      4 |      3 |    0 |     0 |
|   259 |      3 |      1 |    0 |  4697 |
|   259 |      3 |      2 |    0 |  1307 |
|   259 |      2 |      1 | 1307 |  4697 |
|   261 |      2 |      1 |    0 |  3000 |
|   261 |      4 |      1 |  950 |  3000 |
|   261 |      4 |      2 |  950 |     0 |
|   261 |      4 |      3 |  950 |  2020 |
|   261 |      3 |      1 | 2020 |  3000 |
|   261 |      3 |      2 | 2020 |     0 |
|   262 |      2 |      1 | 1129 |  4139 |
|   262 |      6 |      1 |    0 |  4139 |
|   262 |      6 |      2 |    0 |  1129 |
|   264 |      3 |      1 |    0 |  6000 |
|   264 |      3 |      2 |    0 |     0 |
|   264 |      2 |      1 |    0 |  6000 |
|   265 |      6 |      2 | 2378 |     0 |
|   265 |      6 |      1 | 2378 |  4000 |
|   265 |      6 |      3 | 2378 |  2972 |
|   265 |      6 |      4 | 2378 |  2853 |
|   265 |      6 |      5 | 2378 |  2378 |
|   265 |      7 |      6 | 1224 |  2378 |
|   265 |      7 |      2 | 1224 |     0 |
|   265 |      7 |      1 | 1224 |  4000 |
|   265 |      7 |      3 | 1224 |  2972 |
|   265 |      7 |      4 | 1224 |  2853 |
|   265 |      7 |      5 | 1224 |  2378 |
|   265 |      2 |      1 |    0 |  4000 |
|   265 |      3 |      2 | 2972 |     0 |
|   265 |      3 |      1 | 2972 |  4000 |
|   265 |      4 |      2 | 2853 |     0 |
|   265 |      4 |      1 | 2853 |  4000 |
|   265 |      4 |      3 | 2853 |  2972 |
|   265 |      5 |      2 | 2378 |     0 |
|   265 |      5 |      1 | 2378 |  4000 |
|   265 |      5 |      3 | 2378 |  2972 |
|   265 |      5 |      4 | 2378 |  2853 |
|   266 |      2 |      1 | 3329 |  5367 |
|   267 |      2 |      1 | 1189 |  4178 |
|   268 |      2 |      1 |    0 |  1800 |
|   272 |      2 |      1 |  712 |  1189 |
|   273 |      3 |      1 |  891 |  2000 |
|   273 |      3 |      2 |  891 |     0 |
|   273 |      2 |      1 |    0 |  2000 |
|   274 |      2 |      1 | 1189 |  1783 |
|   276 |      2 |      1 |    0 |  5291 |
|   276 |      3 |      2 |  950 |     0 |
|   276 |      3 |      1 |  950 |  5291 |
|   277 |      3 |      1 | 1009 |  3401 |
|   277 |      3 |      2 | 1009 |     0 |
|   277 |      2 |      1 |    0 |  3401 |
|   278 |      3 |      1 | 2020 |  1500 |
|   278 |      3 |      2 | 2020 |     0 |
|   278 |      4 |      1 | 1189 |  1500 |
|   278 |      4 |      3 | 1189 |  2020 |
|   278 |      4 |      2 | 1189 |     0 |
|   278 |      6 |      1 |    0 |  1500 |
|   278 |      6 |      3 |    0 |  2020 |
|   278 |      6 |      4 |    0 |  1189 |
|   278 |      6 |      2 |    0 |     0 |
|   278 |      2 |      1 |    0 |  1500 |
