mysql> select CLASS_INCOMES,substring(i,1,4),sum(p*qt),nat_id from e2,incomeclass where fs_id=f group by CLASS_INCOMES,substring(i,1,4) order by nat_id,CLASS_INCOMES,substring(i,1,4);
+---------------+------------------+---------------+--------+
| CLASS_INCOMES | substring(i,1,4) | sum(p*qt)     | nat_id |
|            25 | 0311             |  2228.4999991 |      1 |
|            25 | 0421             | 11400.0000000 |      1 |
|            25 | 0431             |   382.0000000 |      1 |
|            25 | 0453             |     1.1000000 |      1 |
|            25 | 0621             |   382.0000000 |      1 |
|            25 | 0630             |  1455.4750000 |      1 |
|            25 | 0724             |    29.5000000 |      1 |
|            25 | 0736             |     4.1500000 |      1 |
|            25 | 0810             |    28.9900000 |      1 |
|            25 | 0820             |  2794.2499996 |      1 |
|            25 | 0912             |    45.0000000 |      1 |
|            25 | 0922             |    35.0000000 |      1 |
|            25 | 0941             |   565.0000001 |      1 |
|            25 | 0953             |     5.0000000 |      1 |
|            25 | 1212             |   151.3200000 |      1 |
|            26 | 0311             |   929.5000001 |      1 |
|            26 | 0321             |  1679.6800001 |      1 |
|            26 | 0421             | 12750.0000000 |      1 |
|            26 | 0432             |   960.0000000 |      1 |
|            26 | 0454             |   105.5400001 |      1 |
|            26 | 0512             |   528.2499999 |      1 |
|            26 | 0513             |    10.0000000 |      1 |
|            26 | 0533             |   347.7499999 |      1 |
|            26 | 0562             |  5324.4999998 |      1 |
|            26 | 0611             |   874.7549998 |      1 |
|            26 | 0612             |    32.6000000 |      1 |
|            26 | 0621             |   475.0000000 |      1 |
|            26 | 0911             |   459.0000000 |      1 |
|            26 | 0915             |    40.0000000 |      1 |
|            26 | 0922             |    79.0000000 |      1 |
|            26 | 0932             |   230.6000000 |      1 |
|            26 | 0933             |    39.4000000 |      1 |
|            26 | 0934             |    45.0000001 |      1 |
|            26 | 0941             |  1209.2499995 |      1 |
|            26 | 0952             |   245.3000007 |      1 |
|            26 | 0953             |   250.0000000 |      1 |
|            26 | 1050             |   235.0000000 |      1 |
|            26 | 1120             |  4650.0000000 |      1 |
|            26 | 1212             |   145.3650001 |      1 |
|            26 | 1270             | 12059.8000017 |      1 |
|            27 | 0311             |   968.7500000 |      1 |
|            27 | 0421             | 16400.0000000 |      1 |
|            27 | 0432             |  1159.0000000 |      1 |
|            27 | 0443             |     6.0000000 |      1 |
|            27 | 0512             |   798.2499999 |      1 |
|            27 | 0551             |     4.6500000 |      1 |
|            27 | 0612             |    38.6700001 |      1 |
|            27 | 0613             |   498.0000000 |      1 |
|            27 | 0622             |    49.0000000 |      1 |
|            27 | 0623             |    15.0000000 |      1 |
|            27 | 0724             |   248.3500012 |      1 |
|            27 | 0915             |    27.0000000 |      1 |
|            27 | 0922             |    35.0000000 |      1 |
|            27 | 0933             |   114.2500002 |      1 |
|            27 | 0951             |    30.5000000 |      1 |
|            27 | 0953             |   150.0000000 |      1 |
|            27 | 1240             |    16.0000000 |      1 |
|            28 | 0311             |  1075.0000000 |      1 |
|            28 | 0322             |    33.5000000 |      1 |
|            28 | 0421             | 21420.0000000 |      1 |
|            28 | 0453             |     5.5000000 |      1 |
|            28 | 0533             |   463.1500003 |      1 |
|            28 | 0551             |     3.0000000 |      1 |
|            28 | 0622             |   125.0000000 |      1 |
|            28 | 0724             |    33.9000001 |      1 |
|            28 | 0732             |   244.5000000 |      1 |
|            28 | 0736             |    60.0000000 |      1 |
|            28 | 0934             |    45.0000000 |      1 |
|            28 | 0960             |   650.0000000 |      1 |
|            28 | 1010             |  1090.0000000 |      1 |
|            28 | 1112             |   439.5000021 |      1 |
|            28 | 1254             |     8.0000000 |      1 |
|            29 | 0111             |  3488.4149933 |      1 |
|            29 | 0112             |  3694.4700006 |      1 |
|            29 | 0113             |  2283.4200007 |      1 |
|            29 | 0114             |  1418.0950024 |      1 |
|            29 | 0115             |   336.3849998 |      1 |
|            29 | 0116             |  1090.7650002 |      1 |
|            29 | 0117             |  1247.9880005 |      1 |
|            29 | 0118             |   413.3649999 |      1 |
|            29 | 0119             |   437.3249991 |      1 |
|            29 | 0121             |   197.0250003 |      1 |
|            29 | 0122             |  1348.1749982 |      1 |
|            29 | 0311             |  1004.2500001 |      1 |
|            29 | 0312             |  9475.9500003 |      1 |
|            29 | 0313             |   280.1500002 |      1 |
|            29 | 0314             |  2126.6500003 |      1 |
|            29 | 0321             |  2129.0500001 |      1 |
|            29 | 0322             |    11.5000000 |      1 |
|            29 | 0411             | 16780.0000000 |      1 |
|            29 | 0421             | 21865.0000000 |      1 |
|            29 | 0431             |   298.8500000 |      1 |
|            29 | 0432             |   622.7500008 |      1 |
|            29 | 0441             |   948.0000001 |      1 |
|            29 | 0442             |   310.0000002 |      1 |
|            29 | 0451             |  1538.0000003 |      1 |
|            29 | 0452             |   164.4999999 |      1 |
|            29 | 0511             |  4929.6349993 |      1 |
|            29 | 0513             |    25.0000000 |      1 |
|            29 | 0520             |  2440.2849998 |      1 |
|            29 | 0533             |   294.9000000 |      1 |
|            29 | 0540             |  3599.2000009 |      1 |
|            29 | 0552             |   393.5100001 |      1 |
|            29 | 0561             |  2877.3750084 |      1 |
|            29 | 0611             |   474.8199999 |      1 |
|            29 | 0612             |    29.1000000 |      1 |
|            29 | 0621             |   254.0000001 |      1 |
|            29 | 0622             |    85.0000000 |      1 |
|            29 | 0623             |    70.0000000 |      1 |
|            29 | 0630             |   800.0000001 |      1 |
|            29 | 0713             |    22.0000000 |      1 |
|            29 | 0722             |  6839.9999990 |      1 |
|            29 | 0723             |  2489.1500006 |      1 |
|            29 | 0724             |    98.9500000 |      1 |
|            29 | 0732             |    66.0000000 |      1 |
|            29 | 0736             |   157.0000000 |      1 |
|            29 | 0830             |  3468.0999997 |      1 |
|            29 | 0911             |   480.0000000 |      1 |
|            29 | 0914             |    27.7000000 |      1 |
|            29 | 0915             |   102.5000000 |      1 |
|            29 | 0931             |   625.2500001 |      1 |
|            29 | 0932             |   145.2000003 |      1 |
|            29 | 0933             |    22.2500000 |      1 |
|            29 | 0934             |    16.0000000 |      1 |
|            29 | 0941             |   556.5000000 |      1 |
|            29 | 0942             |     8.2500000 |      1 |
|            29 | 0953             |    57.5500004 |      1 |
|            29 | 0954             |  1058.4499988 |      1 |
|            29 | 1040             |    50.0000000 |      1 |
|            29 | 1050             |   370.0000002 |      1 |
|            29 | 1111             |  2718.3499982 |      1 |
|            29 | 1112             |  1835.9999994 |      1 |
|            29 | 1120             |   300.0000000 |      1 |
|            29 | 1211             |   929.2499999 |      1 |
|            29 | 1213             |  7500.4300283 |      1 |
|            29 | 1232             |  1462.1000005 |      1 |
|            29 | 1320             |  8470.2500005 |      1 |
|            30 | 0220             |   140.7500015 |      1 |
|            30 | 0453             |     0.7500000 |      1 |
|            30 | 0562             |  2367.0000000 |      1 |
|            30 | 0621             |   178.0000000 |      1 |
|            30 | 0622             |    90.0000000 |      1 |
|            30 | 0623             |    75.7500000 |      1 |
|            30 | 0733             |   340.0000000 |      1 |
|            30 | 0911             |   638.0000000 |      1 |
|            30 | 0923             |    25.0000000 |      1 |
|            30 | 0934             |    11.8500000 |      1 |
|            30 | 0953             |    20.0000000 |      1 |
|            30 | 0960             |  1000.0000000 |      1 |
|            30 | 1270             |  3172.9000001 |      1 |
|            31 | 0111             |   807.8550018 |      1 |
|            31 | 0112             |  1437.7849995 |      1 |
|            31 | 0113             |  1075.4299995 |      1 |
|            31 | 0114             |   732.4000003 |      1 |
|            31 | 0115             |   181.6189997 |      1 |
|            31 | 0116             |   644.1899974 |      1 |
|            31 | 0117             |   697.0449997 |      1 |
|            31 | 0118             |   156.3100002 |      1 |
|            31 | 0119             |   215.5199992 |      1 |
|            31 | 0121             |   207.2449995 |      1 |
|            31 | 0122             |   404.9800000 |      1 |
|            31 | 0220             |    79.6500000 |      1 |
|            31 | 0311             |   401.0000000 |      1 |
|            31 | 0312             |  6086.9999996 |      1 |
|            31 | 0313             |   148.6999999 |      1 |
|            31 | 0314             |   610.7400016 |      1 |
|            31 | 0321             |   887.7500000 |      1 |
|            31 | 0322             |     1.5000000 |      1 |
|            31 | 0411             | 11780.0000000 |      1 |
|            31 | 0421             | 10380.0000000 |      1 |
|            31 | 0431             |    30.2500000 |      1 |
|            31 | 0432             |   523.5000000 |      1 |
|            31 | 0441             |   581.0000001 |      1 |
|            31 | 0442             |   185.0000003 |      1 |
|            31 | 0451             |   950.0000001 |      1 |
|            31 | 0452             |    83.7499996 |      1 |
|            31 | 0453             |     6.0000000 |      1 |
|            31 | 0454             |    34.9000000 |      1 |
|            31 | 0511             |  1651.9900001 |      1 |
|            31 | 0512             |   115.0000000 |      1 |
|            31 | 0520             |   691.3899995 |      1 |
|            31 | 0531             |   738.9300000 |      1 |
|            31 | 0532             |   159.3200000 |      1 |
|            31 | 0533             |   224.0000001 |      1 |
|            31 | 0540             |  1305.3900011 |      1 |
|            31 | 0552             |   168.2999999 |      1 |
|            31 | 0561             |  1333.2449979 |      1 |
|            31 | 0562             |  8124.7499999 |      1 |
|            31 | 0611             |   201.0550002 |      1 |
|            31 | 0612             |     6.4000000 |      1 |
|            31 | 0613             |   235.0000000 |      1 |
|            31 | 0621             |   225.0000000 |      1 |
|            31 | 0622             |    95.0000000 |      1 |
|            31 | 0630             |    65.0000000 |      1 |
|            31 | 0721             |   645.4999999 |      1 |
|            31 | 0722             |  2293.7400156 |      1 |
|            31 | 0723             |  1426.7500004 |      1 |
|            31 | 0724             |    19.6000003 |      1 |
|            31 | 0732             |    22.5000000 |      1 |
|            31 | 0733             |   514.0000000 |      1 |
|            31 | 0736             |    10.2000000 |      1 |
|            31 | 0810             |     2.0000000 |      1 |
|            31 | 0820             |  1304.0000000 |      1 |
|            31 | 0830             |  2382.9500021 |      1 |
|            31 | 0911             |  1084.0000000 |      1 |
|            31 | 0912             |    60.0000000 |      1 |
|            31 | 0913             |   286.9900000 |      1 |
|            31 | 0914             |    57.5400000 |      1 |
|            31 | 0915             |    50.0000000 |      1 |
|            31 | 0923             |     4.5000000 |      1 |
|            31 | 0931             |   205.3999997 |      1 |
|            31 | 0932             |    24.3500000 |      1 |
|            31 | 0933             |    48.0000000 |      1 |
|            31 | 0941             |   650.9000002 |      1 |
|            31 | 0942             |    61.5000000 |      1 |
|            31 | 0952             |    61.7000009 |      1 |
|            31 | 0953             |    25.0000000 |      1 |
|            31 | 0954             |   393.4799989 |      1 |
|            31 | 0960             |    72.0000000 |      1 |
|            31 | 1010             |  1099.9999999 |      1 |
|            31 | 1020             |  1095.0000000 |      1 |
|            31 | 1050             |   299.5000000 |      1 |
|            31 | 1111             |  2470.9899991 |      1 |
|            31 | 1112             |  1442.7500012 |      1 |
|            31 | 1211             |   863.8500004 |      1 |
|            31 | 1212             |    48.7400000 |      1 |
|            31 | 1213             |  4347.5039176 |      1 |
|            31 | 1231             |   924.3000001 |      1 |
|            31 | 1232             |   373.7500001 |      1 |
|            31 | 1270             |  9893.0700001 |      1 |
|            31 | 1310             |   555.4999997 |      1 |
|            31 | 1320             |  8116.2500005 |      1 |
|            32 | 0220             |    28.2500000 |      1 |
|            32 | 0421             | 23215.0000000 |      1 |
|            32 | 0431             |   149.8000000 |      1 |
|            32 | 0443             |    12.0000000 |      1 |
|            32 | 0533             |   321.0000000 |      1 |
|            32 | 0551             |    25.7500000 |      1 |
|            32 | 0622             |    36.5000000 |      1 |
|            32 | 0915             |    57.0000000 |      1 |
|            32 | 0922             |    63.7500000 |      1 |
|            32 | 0932             |   138.7500000 |      1 |
|            32 | 0934             |    24.1900000 |      1 |
|            32 | 0960             |   480.0000000 |      1 |
|            32 | 1112             |   418.7499999 |      1 |
|            33 | 0220             |   112.6499996 |      1 |
|            33 | 0322             |     3.5000000 |      1 |
|            33 | 0421             |  8850.0000000 |      1 |
|            33 | 0454             |    39.4650001 |      1 |
|            33 | 0551             |    13.5000000 |      1 |
|            33 | 0612             |    64.2700001 |      1 |
|            33 | 0622             |    40.0000000 |      1 |
|            33 | 0623             |    10.0000000 |      1 |
|            33 | 0630             |    44.0000000 |      1 |
|            33 | 0713             |    50.0000000 |      1 |
|            33 | 0911             |   236.0000000 |      1 |
|            33 | 0913             |   985.0000000 |      1 |
|            33 | 0914             |    27.7499999 |      1 |
|            33 | 0915             |    15.0000000 |      1 |
|            33 | 0933             |    39.0000000 |      1 |
|            33 | 0941             |   615.4999999 |      1 |
|            33 | 0942             |    28.7500000 |      1 |
|            33 | 0951             |   109.0000000 |      1 |
|            33 | 0952             |    97.4499996 |      1 |
|            33 | 0953             |    25.0000000 |      1 |
|            33 | 0954             |   270.8499994 |      1 |
|            33 | 1020             |  2110.0000000 |      1 |
|            33 | 1212             |    85.7000000 |      1 |
|            34 | 0111             |  2814.2000039 |      1 |
|            34 | 0112             |  3157.6350003 |      1 |
|            34 | 0113             |   910.8299995 |      1 |
|            34 | 0114             |  1211.9800011 |      1 |
|            34 | 0115             |   234.6250003 |      1 |
|            34 | 0116             |  1038.8449990 |      1 |
