| FS_ID | NAT_ID | membersCount | SUM(INCOME1) | SUM(INCOME2) | SUM(INCOME3) | SUM(INCOME4) | SUM(INCOME5) | SUM(INCOME6) | SUM(INCOME7) | SUM(INCOME8) | INCOMES | CLASS_INCOMES | CLASS_INCOME1 | CLASS_INCOME2 | CLASS_INCOME3 | CLASS_INCOME4 | CLASS_INCOME5 | CLASS_INCOME6 | CLASS_INCOME7 | CLASS_INCOME8 |
+-------+--------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
|   191 |      1 |            6 |         1287 |            0 |            0 |         1500 |         2400 |            0 |            0 |            0 |    5187 |            26 |             7 |             0 |             0 |             8 |            12 |             0 |             0 |             0 |
|   213 |      1 |            3 |            0 |            0 |            0 |         1500 |         3600 |            0 |            0 |            0 |    5100 |            26 |             0 |             0 |             0 |             8 |            18 |             0 |             0 |             0 |
|   275 |      1 |            3 |         4635 |            0 |            0 |            0 |          450 |            0 |            0 |            0 |    5085 |            26 |            23 |             0 |             0 |             0 |             2 |             0 |             0 |             0 |
|   334 |      1 |            3 |         4383 |            0 |            0 |          750 |            0 |            0 |            0 |            0 |    5133 |            26 |            22 |             0 |             0 |             4 |             0 |             0 |             0 |             0 |
|   399 |      1 |            3 |            0 |            0 |            0 |            0 |         5100 |            0 |            0 |            0 |    5100 |            26 |             0 |             0 |             0 |             0 |            26 |             0 |             0 |             0 |
|   420 |      1 |            9 |         3300 |            0 |            0 |            0 |         1845 |            0 |            0 |            0 |    5145 |            26 |            17 |             0 |             0 |             0 |             9 |             0 |             0 |             0 |
|  1191 |      1 |            3 |         5058 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    5058 |            26 |            26 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1837 |      1 |            6 |            0 |            0 |            0 |         2400 |         2700 |            0 |            0 |            0 |    5100 |            26 |             0 |             0 |             0 |            12 |            14 |             0 |             0 |             0 |
|  2029 |      1 |            9 |         3276 |            0 |            0 |            0 |         1920 |            0 |            0 |            0 |    5196 |            26 |            17 |             0 |             0 |             0 |            10 |             0 |             0 |             0 |
|  2119 |      1 |            3 |         2850 |            0 |            0 |         2400 |            0 |            0 |            0 |            0 |    5250 |            26 |            14 |             0 |             0 |            12 |             0 |             0 |             0 |             0 |
|  3558 |      1 |            6 |            0 |            0 |            0 |            0 |         5130 |            0 |            0 |            0 |    5130 |            26 |             0 |             0 |             0 |             0 |            26 |             0 |             0 |             0 |
|  3640 |      1 |           12 |            0 |            0 |            0 |         1200 |         4020 |            0 |            0 |            0 |    5220 |            26 |             0 |             0 |             0 |             6 |            20 |             0 |             0 |             0 |
|  3735 |      1 |            3 |         5214 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    5214 |            26 |            26 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|   153 |      1 |            3 |            0 |            0 |            0 |         3000 |         2400 |            0 |            0 |            0 |    5400 |            27 |             0 |             0 |             0 |            15 |            12 |             0 |             0 |             0 |
|  1186 |      1 |            3 |         5307 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    5307 |            27 |            27 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1201 |      1 |            3 |         5370 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    5370 |            27 |            27 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1324 |      1 |            3 |         5322 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    5322 |            27 |            27 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1332 |      1 |            3 |            0 |            0 |            0 |         3000 |         1440 |            0 |         1000 |            0 |    5440 |            27 |             0 |             0 |             0 |            15 |             7 |             0 |             5 |             0 |
|  1555 |      1 |            6 |            0 |            0 |            0 |            0 |         5400 |            0 |            0 |            0 |    5400 |            27 |             0 |             0 |             0 |             0 |            27 |             0 |             0 |             0 |
|  1936 |      1 |            3 |         3924 |            0 |            0 |         1500 |            0 |            0 |            0 |            0 |    5424 |            27 |            20 |             0 |             0 |             8 |             0 |             0 |             0 |             0 |
|  1952 |      1 |           12 |         4638 |            0 |            0 |          750 |            0 |            0 |            0 |            0 |    5388 |            27 |            23 |             0 |             0 |             4 |             0 |             0 |             0 |             0 |
|  2170 |      1 |            9 |            0 |            0 |            0 |         2100 |         3300 |            0 |            0 |            0 |    5400 |            27 |             0 |             0 |             0 |            11 |            17 |             0 |             0 |             0 |
|  2322 |      1 |            3 |         3174 |            0 |            0 |         1200 |            0 |         1050 |            0 |            0 |    5424 |            27 |            16 |             0 |             0 |             6 |             0 |             5 |             0 |             0 |
|  2434 |      1 |            3 |         3456 |            0 |            0 |            0 |            0 |            0 |            0 |         1929 |    5385 |            27 |            18 |             0 |             0 |             0 |             0 |             0 |             0 |            10 |
|  3517 |      1 |            6 |         5343 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    5343 |            27 |            27 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  3643 |      1 |            9 |            0 |            0 |            0 |         3000 |         2400 |            0 |            0 |            0 |    5400 |            27 |             0 |             0 |             0 |            15 |            12 |             0 |             0 |             0 |
|  3943 |      1 |            3 |         4065 |            0 |            0 |         1350 |            0 |            0 |            0 |            0 |    5415 |            27 |            21 |             0 |             0 |             7 |             0 |             0 |             0 |             0 |
|   159 |      1 |            6 |            0 |            0 |            0 |            0 |         5586 |            0 |            0 |            0 |    5586 |            28 |             0 |             0 |             0 |             0 |            28 |             0 |             0 |             0 |
|   288 |      1 |            9 |         3777 |            0 |            0 |         1800 |            0 |            0 |            0 |            0 |    5577 |            28 |            19 |             0 |             0 |             9 |             0 |             0 |             0 |             0 |
|   405 |      1 |            6 |            0 |            0 |            0 |            0 |         5550 |            0 |            0 |            0 |    5550 |            28 |             0 |             0 |             0 |             0 |            28 |             0 |             0 |             0 |
|  1364 |      1 |            9 |            0 |            0 |            0 |         3600 |         1920 |            0 |            0 |            0 |    5520 |            28 |             0 |             0 |             0 |            18 |            10 |             0 |             0 |             0 |
|  1818 |      1 |            3 |         4866 |            0 |            0 |          750 |            0 |            0 |            0 |            0 |    5616 |            28 |            25 |             0 |             0 |             4 |             0 |             0 |             0 |             0 |
